"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"BF Investment Limited","37667628","27922726","    74.13","9744902","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","450076","37183237","1.21","23.422","12-Jun-2024 11:30:36"
"BF Utilities Limited","37667628","21371765","    56.74","16295863","0","     0.00","     0.00","0","12-Jun-2024 11:30:32","3494534","37208481","9.39","269.778","12-Jun-2024 11:30:32"
"BGR Energy Systems Limited","72161560","36806824","    51.01","35354736","21648468","    58.82","    30.00",,"12-Jun-2024 11:30:33","24680367","72161558","34.2",,"12-Jun-2024 11:30:33"
"BIRLASOFT LIMITED","275937421","112947985","    40.93","162989436","0","     0.00","     0.00","0","12-Jun-2024 11:30:22","6703571","275446901","2.43","497.405","12-Jun-2024 11:30:22"
"BLB Limited","52865258","19474671","    36.84","33390587","0","     0.00","     0.00",,"12-Jun-2024 11:30:23","455029","52803630","0.86",,"12-Jun-2024 11:30:23"
"BSL Limited","10292168","5837010","    56.71","4455158","0","     0.00","     0.00","0","12-Jun-2024 11:30:12","607760","10097548","6.02","9.773","12-Jun-2024 11:30:12"
"Bafna Pharmaceuticals Limited","23656335","20887547","    88.30","2768788","0","     0.00","     0.00",,"12-Jun-2024 11:30:41","172926","23649295","0.73",,"12-Jun-2024 11:30:41"
"Bajaj Auto Limited","279179756","153708367","    55.06","125471389","13822","     0.01","     0.00","12.645","12-Jun-2024 11:30:34","2339976","278269838","0.84","2140.645","12-Jun-2024 11:30:34"
"Bajaj Consumer Care Limited","142793803","56125000","    39.30","86668803","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","6300609","142793482","4.41","133.604","12-Jun-2024 11:30:36"
"Bajaj Electricals Limited","115196078","72342279","    62.80","42853799","1843556","     2.55","     1.60","167.33","12-Jun-2024 11:30:33","465461","114877133","0.41","42.248","12-Jun-2024 11:30:33"
"Bajaj Finance Limited","618996320","339512874","    54.85","279483446","0","     0.00","     0.00","0","12-Jun-2024 11:30:19","6786470","618531685","1.1","4916.967","12-Jun-2024 11:30:19"
"Bajaj Finserv Limited","1595488813","971174139","    60.87","624314674","100360","     0.01","     0.01","16.498","12-Jun-2024 11:30:34","17002979","1592270201","1.07","2795.035","12-Jun-2024 11:30:34"
"Bajaj Hindusthan Sugar Limited","1277359942","320523422","    25.09","956836520","318743422","    99.44","    24.95","925.95","12-Jun-2024 11:30:11","422722546","1276580259","33.11","1228.009","12-Jun-2024 11:30:11"
"Bajaj Holdings & Investment Limited","111293510","57273575","    51.46","54019935","334","     0.00","     0.00","0.276","12-Jun-2024 11:30:08","1224305","110853135","1.1","1012.837","12-Jun-2024 11:30:08"
"Bajel Projects Limited","115283752","72342279","    62.75","42941473","1843556","     2.55","     1.60","39.673","12-Jun-2024 11:30:42","1194721","115283752","1.04","25.71","12-Jun-2024 11:30:42"
"Bal Pharma Limited","15804372","8097182","    51.23","7707190","0","     0.00","     0.00","0","12-Jun-2024 11:30:29","339751","15695611","2.16","3.099","12-Jun-2024 11:30:29"
"Balaji Amines Limited","32401000","17399770","    53.70","15001230","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","1345073","32268490","4.17","275.101","12-Jun-2024 11:30:31"
"Balaji Telefilms Limited","101528968","34732876","    34.21","66796092","0","     0.00","     0.00","0","12-Jun-2024 11:30:24","3280773","101525715","3.23","24.229","12-Jun-2024 11:30:24"
"Balkrishna Industries Limited","193317190","112690200","    58.29","80626990","0","     0.00","     0.00","0","12-Jun-2024 11:30:11","1036336","192921535","0.54","240.155","12-Jun-2024 11:30:11"
"Ballarpur Industries Limited","1293455756","1321648","     0.10","1292134108","0","     0.00","     0.00",,"12-Jun-2024 11:30:34","0","0","0",,"12-Jun-2024 11:30:34"
"Balmer Lawrie & Company Limited","171003846","0","     0.00","171003846","0",,"     0.00","0","12-Jun-2024 11:30:09","7772892","169455748","4.59","185.306","12-Jun-2024 11:30:09"
"Balrampur Chini Mills Limited","201749245","86545753","    42.90","115203492","0","     0.00","     0.00","0","12-Jun-2024 11:30:10","8120304","201319290","4.03","293.914","12-Jun-2024 11:30:10"
"Banaras Beads Limited","6636222","3858375","    58.14","2777847","0","     0.00","     0.00","0","12-Jun-2024 11:30:16","96110","6438347","1.49","0.851","12-Jun-2024 11:30:16"
"Banco Products (I) Limited","71518650","48549992","    67.88","22968658","0","     0.00","     0.00","0","12-Jun-2024 11:30:15","1426979","71021970","2.01","85.184","12-Jun-2024 11:30:15"
"Bang Overseas Limited","13560000","9896384","    72.98","3663616","0","     0.00","     0.00",,"12-Jun-2024 11:30:33","397031","13438137","2.95",,"12-Jun-2024 11:30:33"
"Bank Of Baroda","5171362179","3308184689","    63.97","1863177490","0","     0.00","     0.00","0","12-Jun-2024 11:30:21","65064213","5142079078","1.27","1718.021","12-Jun-2024 11:30:21"
"Bank Of India","4552667866","3340861720","    73.38","1211806146","0","     0.00","     0.00","0","12-Jun-2024 11:30:21","80989474","4539666312","1.78","1109.961","12-Jun-2024 11:30:21"
"Bank of Maharashtra","7081373639","6122628052","    86.46","958745587","0","     0.00","     0.00","0","12-Jun-2024 11:30:25","99082115","7075346424","1.4","617.777","12-Jun-2024 11:30:25"
"Bannari Amman Spinning Mills Limited","64841871","35880124","    55.33","28961747","0","     0.00","     0.00","0","12-Jun-2024 11:30:28","2877868","64841869","4.44","10.878","12-Jun-2024 11:30:28"
"Bannari Amman Sugars Limited","12539700","7360276","    58.70","5179424","0","     0.00","     0.00","0","12-Jun-2024 11:30:12","458183","12373298","3.7","105.506","12-Jun-2024 11:30:12"
"Banswara Syntex Limited","34232084","18612010","    54.37","15620074","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","1637212","33893442","4.83","23.6","12-Jun-2024 11:30:31"
"Barak Valley Cements Limited","22160000","12259558","    55.32","9900442","0","     0.00","     0.00",,"12-Jun-2024 11:30:33","72499","21537994","0.34",,"12-Jun-2024 11:30:33"
"Barbeque Nation Hospitality Limited","39070775","13170991","    33.71","25899784","86113","     0.65","     0.22","4.287","12-Jun-2024 11:30:41","1267438","39070775","3.24","63.099","12-Jun-2024 11:30:41"
"Bata India Limited","128527540","64465514","    50.16","64062026","0","     0.00","     0.00","0","12-Jun-2024 11:30:09","1738439","127950908","1.36","237.158","12-Jun-2024 11:30:09"
"Bcl Industries Limited","272350000","152733270","    56.08","119616730","7536340","     4.93","     2.77","42.354","12-Jun-2024 11:30:42","18823390","270174800","6.97","105.787","12-Jun-2024 11:30:42"
"Beardsell Limited","39437000","22124551","    56.10","17312449","0","     0.00","     0.00","0","12-Jun-2024 11:30:35","193417","37415854","0.52","0.688","12-Jun-2024 11:30:35"
"Bedmutha Industries Limited","32263884","18405196","    57.05","13858688","17496105","    95.06","    54.23",,"12-Jun-2024 11:30:36","17835642","32247884","55.31",,"12-Jun-2024 11:30:36"
"Berger Paints (I) Limited","1165796049","874229436","    74.99","291566613","0","     0.00","     0.00","0","12-Jun-2024 11:30:12","5848637","1161896851","0.5","335.156","12-Jun-2024 11:30:12"
"Bhagyanagar India Limited","31995000","23143671","    72.34","8851329","0","     0.00","     0.00","0","12-Jun-2024 11:30:40","461394","31899521","1.45","3.772","12-Jun-2024 11:30:40"
"Bhansali Engineering Polymers Limited","248858460","143024997","    57.47","105833463","0","     0.00","     0.00","0","12-Jun-2024 11:30:16","14553523","246531050","5.9","130.036","12-Jun-2024 11:30:16"
"Bharat Bijlee Limited","5651560","1905499","    33.72","3746061","0","     0.00","     0.00","0","12-Jun-2024 11:30:14","608372","2373219","25.63","390.341","12-Jun-2024 11:30:14"
"Bharat Electronics Limited","7309778829","3737921934","    51.14","3571856895","0","     0.00","     0.00","0","12-Jun-2024 11:30:19","111454875","7309197897","1.52","2245.816","12-Jun-2024 11:30:19"
"Bharat Forge Limited","465588632","210691674","    45.25","254896958","630","     0.00","     0.00","0.071","12-Jun-2024 11:30:07","3057227","452526283","0.68","345.344","12-Jun-2024 11:30:07"
"Bharat Gears Limited","15355058","8494410","    55.32","6860648","0","     0.00","     0.00","0","12-Jun-2024 11:30:18","410791","15260575","2.69","4.161","12-Jun-2024 11:30:18"
"Bharat Heavy Electricals Limited","3482063355","2199650402","    63.17","1282412953","0","     0.00","     0.00","0","12-Jun-2024 11:30:18","68052539","3481247466","1.95","1682.939","12-Jun-2024 11:30:18"
"Bharat Petroleum Corporation Limited","2169252744","1149183592","    52.98","1020069152","0","     0.00","     0.00","0","12-Jun-2024 11:30:07","20807596","2148144331","0.97","1253.45","12-Jun-2024 11:30:07"
"Bharat Rasayan Limited","4155268","3116060","    74.99","1039208","20000","     0.64","     0.48","16.961","12-Jun-2024 11:30:13","34023","4102419","0.83","28.853","12-Jun-2024 11:30:13"
"Bharat Road Network Limited","83950000","43851224","    52.23","40098776","9999400","    22.80","    11.91",,"12-Jun-2024 11:30:41","24255653","83950000","28.89",,"12-Jun-2024 11:30:41"
"Bharat Wire Ropes Limited","68041973","27735655","    40.76","40306318","13814250","    49.81","    20.30",,"12-Jun-2024 11:30:40","23989511","68362895","35.09",,"12-Jun-2024 11:30:40"
"Bharati Defence and Infrastructure Limited","50298942","20412281","    40.58","29886661","20412281","   100.00","    40.58",,"12-Jun-2024 11:30:27","21107663","50297161","41.97",,"12-Jun-2024 11:30:27"
"Bharatiya Global Infomedia Limited","15843110","7677604","    48.46","8165506","5059335","    65.90","    31.93",,"12-Jun-2024 11:30:37","278856","15131350","1.84",,"12-Jun-2024 11:30:37"
"Bharti Airtel Limited","6047374739","3237593142","    53.54","2809781597","0","     0.00","     0.00","0","12-Jun-2024 11:30:24","23058570","5683937518","0.41","2832.976","12-Jun-2024 11:30:24"
"Bhartiya International Limited","12209411","7001649","    57.35","5207762","0","     0.00","     0.00","0","12-Jun-2024 11:30:23","1001957","12170713","8.23","26.061","12-Jun-2024 11:30:23"
"Bigbloc Construction Limited","70787875","51265709","    72.42","19522166","0","     0.00","     0.00","0","12-Jun-2024 11:30:40","1288599","70733375","1.82","25.927","12-Jun-2024 11:30:40"
"Bil Energy Systems Limited","211416000","98931240","    46.79","112484760","64299720","    64.99","    30.41",,"12-Jun-2024 11:30:37","65685173","210631140","31.18",,"12-Jun-2024 11:30:37"
"Binani Industries Limited","31366175","16503654","    52.62","14862521","0","     0.00","     0.00",,"12-Jun-2024 11:30:30","440469","29960312","1.47",,"12-Jun-2024 11:30:30"
"Biocon Limited","1200600000","731819194","    60.95","468780806","0","     0.00","     0.00","0","12-Jun-2024 11:30:25","35384005","1199928410","2.95","934.668","12-Jun-2024 11:30:25"
"Biofil Chemicals & Pharmaceuticals Limited","16273800","7618760","    46.82","8655040","0","     0.00","     0.00","0","12-Jun-2024 11:30:20","591058","15411700","3.84","3.582","12-Jun-2024 11:30:20"
"Birla Cable Limited","30000000","19905743","    66.35","10094257","1250000","     6.28","     4.17","28.169","12-Jun-2024 11:30:10","2056923","29363363","7.01","46.353","12-Jun-2024 11:30:10"
"Birla Corporation Limited","77005347","48434191","    62.90","28571156","0","     0.00","     0.00","0","12-Jun-2024 11:30:18","1960292","76791505","2.55","279.087","12-Jun-2024 11:30:18"
"Birla Tyres Limited","142590079","51857675","    36.37","90732404","0","     0.00","     0.00",,"12-Jun-2024 11:30:41","2658379","141808607","1.87",,"12-Jun-2024 11:30:41"
"Bkm Industries Limited","65534050","24602535","    37.54","40931515","2300000","     9.35","     3.51",,"12-Jun-2024 11:30:39","3423685","65532948","5.22",,"12-Jun-2024 11:30:39"
"Black Box Limited","168025590","119441430","    71.09","48584160","10660175","     8.93","     6.34","239.961","12-Jun-2024 11:30:10","12441796","166832000","7.46","280.065","12-Jun-2024 11:30:10"
"Bliss GVS Pharma Limited","104690822","36607174","    34.97","68083648","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","3784532","103124980","3.67","42.708","12-Jun-2024 11:30:36"
"Blue Blends (I) Limited","21651213","11509470","    53.16","10141743","11480000","    99.74","    53.02",,"12-Jun-2024 11:30:16","11630996","19632293","59.24",,"12-Jun-2024 11:30:16"
"Blue Chip India Limited","55304340","6220270","    11.25","49084070","0","     0.00","     0.00",,"12-Jun-2024 11:30:21","244207","54979608","0.44",,"12-Jun-2024 11:30:21"
"Blue Coast Hotels Limited","12748457","7826495","    61.39","4921962","55442","     0.71","     0.43",,"12-Jun-2024 11:30:23","65359","12676094","0.52",,"12-Jun-2024 11:30:23"
"Blue Dart Express Limited","23727934","17795950","    75.00","5931984","0","     0.00","     0.00","0","12-Jun-2024 11:30:12","173655","23694929","0.73","107.387","12-Jun-2024 11:30:12"
"Blue Star Limited","205614788","75035874","    36.49","130578914","0","     0.00","     0.00","0","12-Jun-2024 11:30:23","1700833","204626639","0.83","216.635","12-Jun-2024 11:30:23"
"Bodal Chemicals Limited","125789565","72195662","    57.39","53593903","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","9298139","125379695","7.42","68.295","12-Jun-2024 11:30:37"
"Bohra Industries Limited","14297152","3879012","    27.13","10418140","370000","     9.54","     2.59",,"12-Jun-2024 11:30:42","1049482","14297152","7.34",,"12-Jun-2024 11:30:42"
"Bombay Burmah Trading Corporation Limited","69771900","51663045","    74.05","18108855","0","     0.00","     0.00","0","12-Jun-2024 11:30:15","1385724","69011140","2.01","217.247","12-Jun-2024 11:30:15"
"Bombay Dyeing & Mfg Company Limited","206534900","110658618","    53.58","95876282","0","     0.00","     0.00","0","12-Jun-2024 11:30:16","23339886","205017102","11.38","369.354","12-Jun-2024 11:30:16"
"Bombay Rayon Fashions Limited","317476479","81082396","    25.54","236394083","30868329","    38.07","     9.72",,"12-Jun-2024 11:30:28","33004932","317472172","10.4",,"12-Jun-2024 11:30:28"
"Bosch Limited","29493640","20805224","    70.54","8688416","0","     0.00","     0.00","0","12-Jun-2024 11:30:09","116738","29421577","0.4","350.579","12-Jun-2024 11:30:09"
"Bpl Limited","48975751","30916792","    63.13","18058959","0","     0.00","     0.00","0","12-Jun-2024 11:30:16","1372644","48467026","2.83","12.038","12-Jun-2024 11:30:16"
"Brand Concepts Limited","11132800","5422544","    48.71","5710256","0","     0.00","     0.00",,"12-Jun-2024 11:30:41","95367","11132800","0.86",,"12-Jun-2024 11:30:41"
"Brigade Enterprises Limited","231098641","101042777","    43.72","130055864","0","     0.00","     0.00","0","12-Jun-2024 11:30:33","522835","231135633","0.23","48.901","12-Jun-2024 11:30:33"
"Brightcom Group Limited","2018521873","370993848","    18.38","1647528025","9262114","     2.50","     0.46","12.782","12-Jun-2024 11:30:39","51436275","2016323823","2.55","70.982","12-Jun-2024 11:30:39"
"Britannia Industries Limited","240868296","121752892","    50.55","119115404","0","     0.00","     0.00","0","12-Jun-2024 11:30:14","1515677","239643066","0.63","744.387","12-Jun-2024 11:30:14"
"Brooks Laboratories Limited","26246738","16690707","    63.59","9556031","0","     0.00","     0.00",,"12-Jun-2024 11:30:37","312735","26245038","1.19",,"12-Jun-2024 11:30:37"
"Burnpur Cement Limited","86124363","1701147","     1.98","84423216","0","     0.00","     0.00","0","12-Jun-2024 11:30:33","2078761","86115319","2.41","1.164","12-Jun-2024 11:30:33"
"Butterfly Gandhimathi Appliances Limited","17879551","13409663","    75.00","4469888","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","309829","17669119","1.75","23.638","12-Jun-2024 11:30:39"
"C & C Constructions Limited","25445265","8249334","    32.42","17195931","6460858","    78.32","    25.39",,"12-Jun-2024 11:30:31","6884689","25431197","27.07",,"12-Jun-2024 11:30:31"
"CARE Ratings Limited","29852113","0","     0.00","29852113","0",,"     0.00","0","12-Jun-2024 11:30:38","1705753","29868950","5.71","190.942","12-Jun-2024 11:30:38"
"CCL Products (India) Limited","133027920","61540392","    46.26","71487528","0","     0.00","     0.00","0","12-Jun-2024 11:30:26","1682782","132875967","1.27","98.662","12-Jun-2024 11:30:26"
"CEAT Limited","40450092","19095398","    47.21","21354694","0","     0.00","     0.00","0","12-Jun-2024 11:30:33","1429784","40153782","3.56","383.525","12-Jun-2024 11:30:33"
"CESC Limited","1325570430","690770560","    52.11","634799870","0","     0.00","     0.00","0","12-Jun-2024 11:30:18","28790087","1318018510","2.18","350.231","12-Jun-2024 11:30:18"
"CG Power and Industrial Solutions Limited","1527256094","887598422","    58.12","639657672",,,,,"12-Jun-2024 11:30:18","39031411","1525286083","2.56","2111.209","12-Jun-2024 11:30:18"
