"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME","DISSEMINATION","DIFFERENCE"
"AHLADA","Ahlada Engineers Limited","Chedepudi Suresh Mohan Reddy","31-MAY-2024 to 31-MAY-2024",,"154774","6352322","Reg29(2)","06-Jun-2024, 12-49","06-Jun-2024 12:50","00:00:40"
"PIIND","PI Industries Limited","LIFE Insurance Corporation of India","30-MAY-2024 to 30-MAY-2024","72000",,"7591910","Reg29(1)","06-Jun-2024, 12-49","06-Jun-2024 12:50","00:00:54"
"LOKESHMACH","Lokesh Machines Limited","Cherukuri Srirekha","30-MAY-2024 to 30-MAY-2024","27352",,"227152","Reg29(2)","06-Jun-2024, 12-46","06-Jun-2024 12:48","00:01:17"
"UDS","Updater Services Limited","RAGHUNANDANA TANGIRALA","29-MAY-2024 to 31-MAY-2024","65118",,"16013579","Reg29(2)","06-Jun-2024, 12-44","06-Jun-2024 12:46","00:01:14"
"DIACABS","Diamond Power Infrastructure Limited","GSEC Limited","28-MAY-2024 to 29-MAY-2024",,"1286303","17213697","Reg29(2)","06-Jun-2024, 12-44","06-Jun-2024 12:46","00:01:16"
"ASHOKAMET","Ashoka Metcast Limited","Mita Harshul Shah alongwith PAC","30-MAY-2024 to 31-MAY-2024",,"150000","350000","Reg29(2)","06-Jun-2024, 12-41","06-Jun-2024 12:42","00:01:08"
"SKP","Skp Bearing Industries Limited","Shripada Pankaj Patil","30-MAY-2024 to 31-MAY-2024","11000",,"11001","Reg29(1)","06-Jun-2024, 12-38","06-Jun-2024 12:40","00:01:45"
"SDBL","Som Distilleries & Breweries Limited","Jagdish Kumar Aroora","29-MAY-2024 to 29-MAY-2024","20000",,"68781171","Reg29(2)","06-Jun-2024, 12-36","06-Jun-2024 12:38","00:01:12"
"REMUS","Remus Pharmaceuticals Limited","Renosen Pharmaceuticals Private Ltd","29-MAY-2024 to 29-MAY-2024","200",,"11050","Reg29(2)","06-Jun-2024, 12-36","06-Jun-2024 12:38","00:02:03"
"FSC","Future Supply Chain Solutions Limited","IDBI Trusteeship Services Limited (ITL), in its capacity of a debenture trustee/share pledge trustee","23-MAR-2020 to 23-MAR-2020",,"999000","14189220","Reg29(2)","06-Jun-2024, 12-32","06-Jun-2024 12:34","00:01:23"
"DIACABS","Diamond Power Infrastructure Limited","Monarch Infraparks Private Ltd","28-MAY-2024 to 29-MAY-2024",,"1286302","5713698","Reg29(2)","06-Jun-2024, 12-29","06-Jun-2024 12:30","00:00:14"
"RMDRIP","R M Drip and Sprinklers Systems Limited","Kunal Haresh Mehta","14-MAY-2024 to 14-MAY-2024","3030000",,"3780000","Reg29(2)","06-Jun-2024, 12-29","06-Jun-2024 12:30","00:00:31"
"IMFA","Indian Metals & Ferro Alloys Limited","Fox Consulting Services Pte Ltd","27-MAY-2024 to 27-MAY-2024",,"10416","21903","Reg29(2)","06-Jun-2024, 12-26","06-Jun-2024 12:28","00:01:22"
"KRISHCA","Krishca Strapping Solutions Limited","Lalit Dua","29-MAY-2024 to 29-MAY-2024",,"32000","1131750","Reg29(2)","06-Jun-2024, 12-24","06-Jun-2024 12:24","00:00:04"
"WTICAB","Wise Travel India Limited","RAJASTHAN GLOBAL SECURITIES PRIVATE LIMITED ALONGWITH PAC","29-MAY-2024 to 29-MAY-2024",,"47000","389000","Reg29(2)","06-Jun-2024, 12-21","06-Jun-2024 12:22","00:00:13"
"AARTIDRUGS","Aarti Drugs Limited","Rajendra Vallabhaji Gogri alongwith PAC","22-DEC-2023 to 28-MAY-2024",,"411980","101810","Reg29(2)","06-Jun-2024, 12-20","06-Jun-2024 12:22","00:01:53"
"JASH","Jash Engineering Limited","Axel Schutte","28-MAY-2024 to 28-MAY-2024",,"200000","592807","Reg29(2)","06-Jun-2024, 12-17","06-Jun-2024 12:18","00:00:21"
"PPLPHARMA","Piramal Pharma Limited","Deutsche Bank AG, Mumbai Branch","28-MAY-2024 to 28-MAY-2024","0",,"238663700","Reg29(2)","06-Jun-2024, 12-16","06-Jun-2024 12:18","00:01:46"
"SKP","Skp Bearing Industries Limited","Shrichi Shrinand Palshikar","28-MAY-2024 to 28-MAY-2024","21000",,"21001","Reg29(1)","06-Jun-2024, 12-14","06-Jun-2024 12:16","00:02:01"
"ADFFOODS","ADF Foods Limited","AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED","28-MAY-2024 to 28-MAY-2024","2553566",,"16143693","Reg29(2)","05-Jun-2024, 18-11","05-Jun-2024 18:12","00:00:45"
"KFINTECH","Kfin Technologies Limited","General Atlantic Singapore Fund Pte. Ltd","30-MAY-2023 to 30-MAY-2023",,"10000000","55026100","Reg29(2)","05-Jun-2024, 17-34","05-Jun-2024 17:36","00:01:16"
"FSC","Future Supply Chain Solutions Limited","IDBI Trusteeship Services Limited (ITL), in its capacity of a debenture trustee/share pledge trustee","23-MAR-2020 to 23-MAR-2020",,"999000","14189220","Reg29(2)","05-Jun-2024, 17-33","05-Jun-2024 17:34","00:01:02"
"WTICAB","Wise Travel India Limited","RAJASTHAN GLOBAL SECURITIES PRIVATE LIMITED ALONGWITH PAC","29-MAY-2024 to 29-MAY-2024",,"47000","389000","Reg29(2)","05-Jun-2024, 17-30","05-Jun-2024 17:32","00:01:44"
