"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"REMUS","Remus Pharmaceuticals Limited","7(2)","Renosen Pharmaceuticals Private Limited","Promoter Group","Equity Shares","10625","0.72",,"100","692725","Buy","Equity Shares","10725","0.73","28-May-2024","28-May-2024","30-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 19:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164803_1151281_31052024072448_WEB.xml"
"REMUS","Remus Pharmaceuticals Limited","7(2)","Renosen Pharmaceuticals Private Limited","Promoter Group","Equity Shares","10825","0.73",,"25","178000","Buy","Equity Shares","10850","0.74","28-May-2024","28-May-2024","30-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 19:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164803_1151281_31052024072448_WEB.xml"
"REMUS","Remus Pharmaceuticals Limited","7(2)","Renosen Pharmaceuticals Private Limited","Promoter Group","Equity Shares","10725","0.73",,"100","714499","Buy","Equity Shares","10825","0.73","28-May-2024","28-May-2024","30-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 19:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164803_1151281_31052024072448_WEB.xml"
"VASCONEQ","Vascon Engineers Limited","7(2)","NAVIN  HARI SINGH THAKUR","-","Equity Shares","70000","0.03",,"70000","700000","Buy","Equity Shares","140000","0.06","21-May-2024","21-May-2024","31-May-2024","ESOP","-","-","0","0","0","0","NA","-","31-May-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164802_1151268_31052024072114_WEB.xml"
"VASCONEQ","Vascon Engineers Limited","7(2)","NAVIN  HARI SINGH THAKUR","-","Equity Shares","140000","0.06",,"10000","630000","Sell","Equity Shares","130000","0.06","31-May-2024","31-May-2024","31-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164802_1151268_31052024072114_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Nagesh Satyanarayan Basavanhalli","Director","Equity Shares","666579","0.61",,"56979","41702357","Sell","Equity Shares","609600","0.55","30-May-2024","30-May-2024","31-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 19:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164800_1151214_31052024070839_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Neel Chandru Raheja","Promoters","Equity Shares","2587336","2.35",,"22664","16658040","Buy","Equity Shares","2610000","2.37","30-May-2024","30-May-2024","30-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 19:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164800_1151214_31052024070839_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Ravi Chandru Raheja","Promoters","Equity Shares","1343627","1.22",,"22664","16657813","Buy","Equity Shares","1366291","1.24","30-May-2024","30-May-2024","30-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 19:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164800_1151214_31052024070839_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Palm Shelter Estate Development LLP","Promoter Group","Equity Shares","8977558","8.17",,"2","1470","Buy","Equity Shares","8977560","8.17","30-May-2024","30-May-2024","30-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 19:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164800_1151214_31052024070839_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","K. Raheja Corp Private Limited","Promoter Group","Equity Shares","4308813","3.92",,"2645","1944075","Buy","Equity Shares","4311458","3.92","30-May-2024","30-May-2024","30-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 19:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164800_1151214_31052024070839_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Anbee Constructions LLP","Promoter Group","Equity Shares","13331919","12.12",,"2025","1488375","Buy","Equity Shares","13333944","12.12","30-May-2024","30-May-2024","30-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 19:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164800_1151214_31052024070839_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Janak Desai","Promoter Group","Equity Shares","215000","0.01",,"45000","76635000","Sell","Equity Shares","170000","0.01","24-May-2024","24-May-2024","30-May-2024","Off Market","-","-","0","0","0","0","MSEI","-","31-May-2024 19:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164799_1151198_31052024070422_WEB.xml"
"BHARATWIRE","Bharat Wire Ropes Limited","7(2)","Mayank Murarilal Mittal","Promoters","Equity Shares","1720001","2.53",,"2000","560224","Buy","Equity Shares","1722001","2.52","30-May-2024","30-May-2024","31-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 18:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164796_1151168_31052024065427_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Om Prakash Manchanda","Director","Equity Shares","933502","1.12",,"14000","37039722","Sell","Equity Shares","919502","1.1","31-May-2024","31-May-2024","31-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 18:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164790_1151097_31052024063534_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(3)","RAMESH GANESAN","-","Equity Shares","42900","0.01",,"20000","24417000","Buy","Equity Shares","62900","0","31-May-2024","31-May-2024","31-May-2024","ESOP","-","-","0","0","0","0","NA","-","31-May-2024 18:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164789_1151085_31052024063224_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(3)","BIJAYANANDA PATTANAYAK","-","Equity Shares","136000","0.02",,"1000","1220850","Buy","Equity Shares","137000","0","31-May-2024","31-May-2024","31-May-2024","ESOP","-","-","0","0","0","0","NA","-","31-May-2024 18:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164789_1151085_31052024063224_WEB.xml"
"HEADSUP","Heads UP Ventures Limited","7(2)","Mahan Synthetic Textiles Private Limited","Promoter Group","Equity Shares","998522","4.52",,"50000","579716","Sell","Equity Shares","948522","4.3","28-May-2024","28-May-2024","29-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 18:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164787_1151060_31052024062852_WEB.xml"
"EASTSUGIND","Eastern Sug & Inds Limited","7(2)","Pardeep Garg Family Trust","Promoters","Equity Shares","Nil","0",,"57458654","57458654","Buy","Equity Shares","57458654","95","29-May-2024","29-May-2024","31-May-2024","Preferential Offer","-","-","0","0","0","0","NA","-","31-May-2024 18:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164786_1151054_31052024062749_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","SHAH MAYUR ARUN","Employees/Designated Employees","Equity Shares","5000","0",,"2475","2853180","Buy","Equity Shares","7475","0","31-May-2024","31-May-2024","31-May-2024","ESOP","-","-","0","0","0","0","NA","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","SHAYAN BASU","Employees/Designated Employees","Equity Shares","Nil","0",,"1485","2149909","Buy","Equity Shares","1485","0","31-May-2024","31-May-2024","31-May-2024","ESOP","-","-","0","0","0","0","NA","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","RAJENDRANADH P","Employees/Designated Employees","Equity Shares","5480","0",,"1000","1239250","Buy","Equity Shares","6480","0","31-May-2024","31-May-2024","31-May-2024","ESOP","-","-","0","0","0","0","NA","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","MURTUZA JADLIWALA","Employees/Designated Employees","Equity Shares","6000","0",,"1980","2282544","Buy","Equity Shares","7980","0","31-May-2024","31-May-2024","31-May-2024","ESOP","-","-","0","0","0","0","NA","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","INDRAJEET SINGH","Employees/Designated Employees","Equity Shares","Nil","0",,"980","1129744","Buy","Equity Shares","980","0","31-May-2024","31-May-2024","31-May-2024","ESOP","-","-","0","0","0","0","NA","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","SURAJ KUMAR SARANGI","Employees/Designated Employees","Equity Shares","7500","0",,"2475","2853180","Buy","Equity Shares","9975","0","31-May-2024","31-May-2024","31-May-2024","ESOP","-","-","0","0","0","0","NA","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","SHRUTI KUMAR","Employees/Designated Employees","Equity Shares","Nil","0",,"8550","8862930","Buy","Equity Shares","8550","0","31-May-2024","31-May-2024","31-May-2024","ESOP","-","-","0","0","0","0","NA","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","MURTUZA JADLIWALA","Employees/Designated Employees","Equity Shares","3960","0",,"2040","1935654","Buy","Equity Shares","6000","0","31-May-2024","31-May-2024","31-May-2024","ESOP","-","-","0","0","0","0","NA","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","SAI GIRIDHAR","Employees/Designated Employees","Equity Shares","Nil","0",,"13200","10349460","Buy","Equity Shares","13200","0","31-May-2024","31-May-2024","31-May-2024","ESOP","-","-","0","0","0","0","NA","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","SHAH MAYUR ARUN","Employees/Designated Employees","Equity Shares","Nil","0",,"5000","4564500","Buy","Equity Shares","5000","0","31-May-2024","31-May-2024","31-May-2024","ESOP","-","-","0","0","0","0","NA","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","ANIL MARCO RAO","Employees/Designated Employees","Equity Shares","29146","0",,"1000","1470000","Sell","Equity Shares","28146","0","28-May-2024","28-May-2024","29-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","ANIL MARCO RAO","Employees/Designated Employees","Equity Shares","29146","0",,"1000","1470000","Pledge Revoke","Equity Shares","29146","0","28-May-2024","28-May-2024","29-May-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","SRIRAM A G","Employees/Designated Employees","Equity Shares","2385","0",,"1385","2022100","Sell","Equity Shares","1000","0","28-May-2024","28-May-2024","28-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","ROHAN JATHANNA","Employees/Designated Employees","Equity Shares","1075","0",,"1000","1447910","Sell","Equity Shares","75","0","29-May-2024","29-May-2024","30-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164780_1150996_31052024061622_WEB.xml"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","7(2)","Zuari Industries Limited (Formerly Zuari Global Limited)","Promoters","Equity Shares","56964966","14.22",,"1700000","686205000","Pledge","Equity Shares","56964966","14.22","29-May-2024","29-May-2024","30-May-2024","Pledge Creation","-","-","0","0","0","0","NA","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164779_1150993_31052024061609_WEB.xml"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","7(2)","Zuari Industries Limited (Formerly Zuari Global Limited)","Promoters","Equity Shares","56964966","14.22",,"1700000","689180000","Pledge","Equity Shares","56964966","14.22","28-May-2024","28-May-2024","30-May-2024","Pledge Creation","-","-","0","0","0","0","NA","-","31-May-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164779_1150993_31052024061609_WEB.xml"
"PATANJALI","Patanjali Foods Limited","7(2)","Yogakshem Sansthan","Promoter Group","Equity Shares","57315000","15.83",,"1000000","0","Sell","Equity Shares","56315000","15.56","29-May-2024","29-May-2024","31-May-2024","Others","-","-","0","0","0","0","NA","-","31-May-2024 18:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164778_1150988_31052024061522_WEB.xml"
"BAIDFIN","Baid Finserv Limited","7(2)","AMAN BAID","Promoter Group","Equity Shares","4364490","3.64",,"110000","2262700","Buy","Equity Shares","4474490","3.73","31-May-2024","31-May-2024","31-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 18:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164774_1150967_31052024061201_WEB.xml"
"SUNTV","Sun TV Network Limited","7(2)","MR. SHANMUGASUNDARAM SELVAM","Director","Equity Shares","6859805","1.74",,"2500","1643491","Sell","Equity Shares","6857305","1.74","29-May-2024","29-May-2024","30-May-2024","Market Sale","-","-","0","0","0","0","BSE","-","31-May-2024 18:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164770_1150919_31052024060350_WEB.xml"
"SUNTV","Sun TV Network Limited","7(2)","MR. SHANMUGASUNDARAM SELVAM","Director","Equity Shares","6857305","1.74",,"12500","8278036","Sell","Equity Shares","6844805","1.73","30-May-2024","30-May-2024","31-May-2024","Market Sale","-","-","0","0","0","0","BSE","-","31-May-2024 18:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164770_1150919_31052024060350_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Amitendra Singh Antal","Employees/Designated Employees","Equity Shares","1024","0",,"250","1477074","Sell","Equity Shares","774","0","29-May-2024","29-May-2024","31-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 17:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164767_1150866_31052024055514_WEB.xml"
"YASHO","Yasho Industries Limited","7(2)","YAYESH JHAVERI","Promoters","Equity Shares","1585400","13.91",,"227984","0","Sell","Equity Shares","1357416","11.91","30-May-2024","30-May-2024","31-May-2024","Gift","-","-","0","0","0","0","BSE","-","31-May-2024 17:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164765_1150821_31052024054658_WEB.xml"
"YASHO","Yasho Industries Limited","7(2)","DISHIT JHAVERI","Immediate relative","Equity Shares","Nil","0",,"227984","0","Buy","Equity Shares","227984","2","30-May-2024","30-May-2024","31-May-2024","Gift","-","-","0","0","0","0","BSE","-","31-May-2024 17:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164765_1150821_31052024054658_WEB.xml"
"ORIENTHOT","Oriental Hotels Limited","7(2)","D RAHUL REDDY","Promoter Group","Equity Shares","38420","0.02",,"124250","17071950","Buy","Equity Shares","162670","0.09","29-May-2024","29-May-2024","31-May-2024","Off Market","-","-","0","0","0","0","NA","-","31-May-2024 16:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164760_1150540_31052024043611_WEB.xml"
"ORIENTHOT","Oriental Hotels Limited","7(2)","PEDDINENIKALVA VIDYA REDDY","Promoter Group","Equity Shares","316870","0.18",,"124250","17071950","Sell","Equity Shares","192620","0.11","29-May-2024","29-May-2024","31-May-2024","Off Market","-","-","0","0","0","0","NA","-","31-May-2024 16:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164760_1150540_31052024043611_WEB.xml"
"SWSOLAR","Sterling and Wilson Renewable Energy Limited","7(2)","Sanjeev Pushkarna","Employees/Designated Employees","Equity Shares","250","0",,"250","181265","Sell","Equity Shares","Nil","0","30-May-2024","30-May-2024","31-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 16:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164758_1150532_31052024043321_WEB.xml"
"GREAVESCOT","Greaves Cotton Limited","7(2)","NAGESH BASAVANHALLI","Director","Equity Shares","380700","0.16",,"80000","10085600","Sell","Equity Shares","300700","0.13","29-May-2024","29-May-2024","31-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 16:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164756_1150419_31052024040309_WEB.xml"
"KFINTECH","Kfin Technologies Limited","7(2)","General Atlantic Singapore Fund Pte Ltd","Promoters","Equity Shares","65026100","37.99",,"10000000","7128139000","Sell","Equity Shares","55026100","32.15","30-May-2024","30-May-2024","30-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 15:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164754_1150397_31052024035728_WEB.xml"
"LLOYDSENGG","LLOYDS ENGINEERING WORKS LIMITED","7(2)","Mukesh Tarachand Sharma","Employees/Designated Employees","Equity Shares","5500","0",,"3000","180420","Sell","Equity Shares","2500","0","30-May-2024","30-May-2024","30-May-2024","Market Sale","-","-","0","0","0","0","NA","-","31-May-2024 15:41","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164752_1150342_31052024034133_WEB.xml"
"LLOYDSENGG","LLOYDS ENGINEERING WORKS LIMITED","7(2)","CHANDRASENA GAJANAN MHATRE","Employees/Designated Employees","Equity Shares","19999","0",,"3000","186000","Sell","Equity Shares","16999","0","29-May-2024","29-May-2024","29-May-2024","Market Sale","-","-","0","0","0","0","NA","-","31-May-2024 15:41","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164752_1150342_31052024034133_WEB.xml"
"SPYL","Shekhawati Poly-Yarn Limited","7(2)","SKI BUILDCON PRIVATE LIMITED","Promoter Group","Equity Shares","31000000","8.99",,"2000000","7100000","Buy","Equity Shares","33000000","9.57","28-May-2024","28-May-2024","29-May-2024","Inter-se-Transfer","-","-","0","0","0","0","NA","-","31-May-2024 15:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164750_1150294_31052024031623_WEB.xml"
"SPYL","Shekhawati Poly-Yarn Limited","7(2)","MUKESH RAMNIRANJAN RUIA HUF","Promoter Group","Equity Shares","18000000","5.22",,"2000000","7100000","Sell","Equity Shares","16000000","4.64","28-May-2024","28-May-2024","29-May-2024","Inter-se-Transfer","-","-","0","0","0","0","NA","-","31-May-2024 15:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164750_1150294_31052024031623_WEB.xml"
"KPIGREEN","KPI Green Energy Limited","7(2)","Farukbhai Gulambhai Patel","Promoters","Equity Shares","31965221","53.03",,"2825","5000250","Buy","Equity Shares","31968046","53.03","30-May-2024","30-May-2024","31-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 15:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164749_1150251_31052024030016_WEB.xml"
"MAXIND","Max India Limited","7(2)","Ajay Agrawal","Other","Equity Shares","103000","0.24",,"5200","1411288","Sell","Equity Shares","97800","0.23","27-May-2024","28-May-2024","29-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 14:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164748_1150224_31052024025253_WEB.xml"
"MBAPL","Madhya Bharat Agro Products Limited","7(2)","Nirmala Realinfrastructure Private Limited","Promoter Group","Equity Shares","2936907","3.35",,"10000","2390242","Sell","Equity Shares","2926907","3.34","28-May-2024","28-May-2024","30-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 14:41","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164745_1150188_31052024024100_WEB.xml"
"KPIGREEN","KPI Green Energy Limited","7(2)","Mohmed Sohil Yusufbhai Dabhoya","Director","Equity Shares","251820","0.42",,"164497","293602277","Sell","Equity Shares","87323","0.14","28-May-2024","30-May-2024","30-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","31-May-2024 14:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164742_1150083_31052024021014_WEB.xml"
"CORDSCABLE","Cords Cable Industries Limited","7(2)","Naveen Sawhney","Promoters","Equity Shares","6102005","47.2",,"2000","410081","Buy","Equity Shares","6104005","47.22","30-May-2024","30-May-2024","31-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 13:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164740_1149941_31052024010947_WEB.xml"
"KPITTECH","KPIT Technologies Limited","7(2)","KPIT TECHNOLOGIES LIMITED EMPLOYEES WELFARE TRUST","Other","Equity Shares","2853659","1.04",,"2250","3394920","Sell","Equity Shares","2851409","1.04","28-May-2024","28-May-2024","29-May-2024","ESOP","-","-","0","0","0","0","NSE","-","31-May-2024 12:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164738_1149852_31052024124407_WEB.xml"
"SKP","Skp Bearing Industries Limited","7(2)","SHRICHI SHRINAND PALSHIKAR","Promoter Group","Equity Shares","1","0",,"21000","4617075","Buy","Equity Shares","21001","0.12","28-May-2024","28-May-2024","30-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 12:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164735_1149795_31052024122831_WEB.xml"
"BAIDFIN","Baid Finserv Limited","7(2)","AMAN BAID","Promoter Group","Equity Shares","4261990","3.55",,"102500","21","Buy","Equity Shares","4364490","3.64","30-May-2024","30-May-2024","30-May-2024","Market Purchase","-","-","0","0","0","0","NSE","-","31-May-2024 10:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164730_1149607_31052024102937_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Gaurav Sehgal","Employees/Designated Employees","Equity Shares","17000","0",,"17000","13517550","Sell","Equity Shares","Nil","0","29-May-2024","29-May-2024","30-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-May-2024 21:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164728_1149179_30052024090411_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","MEGHNA SURI","Employees/Designated Employees","Equity Shares","48588","0.01",,"12000","9754080","Sell","Equity Shares","36588","0.01","28-May-2024","28-May-2024","30-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-May-2024 21:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164728_1149179_30052024090411_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Gaurav Sehgal","Employees/Designated Employees","Equity Shares","34800","0.01",,"17800","14356946","Sell","Equity Shares","17000","0","28-May-2024","28-May-2024","30-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-May-2024 21:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164728_1149179_30052024090411_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Aman Chadha","Employees/Designated Employees","Equity Shares","28000","0.01",,"28000","22454600","Sell","Equity Shares","Nil","0","29-May-2024","29-May-2024","29-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-May-2024 21:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164728_1149179_30052024090411_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Sameer Gambhir","Employees/Designated Employees","Equity Shares","32578","0.01",,"11500","9290620","Sell","Equity Shares","21078","0.01","28-May-2024","28-May-2024","29-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-May-2024 21:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164728_1149179_30052024090411_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Abhishek Shah","Employees/Designated Employees","Equity Shares","126000","0.03",,"15331","12276911","Sell","Equity Shares","110669","0.03","29-May-2024","29-May-2024","30-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-May-2024 21:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164728_1149179_30052024090411_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Pawan Mundhra","Employees/Designated Employees","Equity Shares","173860","0.05",,"15000","11945250","Sell","Equity Shares","158860","0.04","29-May-2024","29-May-2024","30-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-May-2024 21:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164728_1149179_30052024090411_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Shikhar Prabhakar","Employees/Designated Employees","Equity Shares","55500","0.02",,"20985","16870354","Sell","Equity Shares","34515","0.01","24-May-2024","28-May-2024","30-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-May-2024 21:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164728_1149179_30052024090411_WEB.xml"
"LANDMARK","Landmark Cars Limited","7(2)","Garima Misra","Employees/Designated Employees","Equity Shares","802736","1.94",,"4571","3200050","Sell","Equity Shares","798165","1.93","27-May-2024","27-May-2024","29-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-May-2024 20:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164727_1149118_30052024084504_WEB.xml"
"LANDMARK","Landmark Cars Limited","7(2)","Garima Misra","Employees/Designated Employees","Equity Shares","798165","1.93",,"100","70425","Pledge","Equity Shares","798165","1.93","27-May-2024","27-May-2024","29-May-2024","Market Sale","-","-","0","0","0","0","BSE","-","30-May-2024 20:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164727_1149118_30052024084504_WEB.xml"
"SHREDIGCEM","Shree Digvijay Cement Co.Ltd","7(2)","Mr. Suresh Kumar Meher","Key Managerial Personnel","Equity Shares","48423","0.03",,"2133","228559","Sell","Equity Shares","46290","0.03","27-May-2024","28-May-2024","29-May-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-May-2024 19:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1164724_1148888_30052024074912_WEB.xml"
